MathScore,predicted
71,70.0
69,82.0
87,87.0
45,50.0
76,73.0
73,79.0
85,86.0
41,39.0
65,66.0
37,55.0
58,54.0
40,48.0
66,79.0
80,68.0
48,59.0
69,71.0
88,84.0
18,27.0
46,38.0
50,56.0
66,68.0
65,71.0
42,49.0
66,68.0
74,77.0
75,74.0
66,56.0
69,70.0
70,66.0
66,68.0
63,62.0
56,69.0
40,40.0
97,78.0
81,78.0
76,80.0
51,63.0
77,87.0
58,56.0
53,49.0
59,67.0
60,61.0
48,53.0
63,54.0
67,70.0
82,78.0
54,53.0
76,64.0
56,46.0
88,73.0
75,77.0
33,41.0
84,80.0
52,52.0
61,57.0
0,7.0
39,37.0
62,58.0
59,58.0
63,60.0
45,42.0
61,70.0
62,56.0
39,58.0
64,58.0
42,52.0
59,54.0
47,47.0
44,44.0
28,27.0
82,77.0
62,72.0
60,64.0
49,51.0
49,47.0
50,51.0
74,63.0
40,35.0
73,74.0
73,80.0
71,70.0
57,66.0
75,83.0
27,27.0
68,72.0
45,49.0
81,85.0
63,62.0
59,69.0
61,65.0
64,63.0
79,65.0
68,72.0
87,85.0
61,54.0
100,81.0
58,68.0
87,93.0
66,60.0
52,72.0
72,61.0
79,89.0
63,54.0
54,51.0
47,56.0
98,91.0
84,73.0
72,78.0
75,74.0
54,62.0
55,65.0
76,80.0
88,82.0
90,87.0
63,57.0
82,77.0
86,89.0
72,66.0
64,73.0
77,80.0
52,46.0
87,78.0
52,27.0
89,70.0
70,76.0
76,77.0
56,50.0
51,52.0
67,54.0
59,63.0
73,69.0
76,70.0
60,66.0
41,54.0
57,47.0
90,72.0
21,35.0
65,71.0
100,92.0
62,64.0
57,66.0
54,51.0
58,58.0
69,81.0
67,72.0
58,59.0
62,82.0
70,61.0
82,71.0
75,79.0
48,49.0
52,53.0
76,84.0
96,93.0
53,51.0
62,77.0
70,79.0
76,73.0
91,84.0
76,76.0
63,69.0
41,51.0
81,84.0
44,49.0
70,71.0
54,62.0
99,93.0
60,69.0
46,66.0
50,48.0
63,64.0
61,62.0
75,70.0
62,65.0
47,51.0
74,80.0
66,66.0
73,78.0
62,66.0
79,63.0
69,82.0
60,54.0
57,64.0
56,56.0
47,55.0
80,74.0
66,79.0
63,75.0
69,72.0
58,68.0
58,47.0
71,70.0
84,63.0
83,78.0
73,77.0
58,61.0
77,73.0
35,34.0
42,62.0
61,52.0
87,87.0
86,81.0
80,80.0
33,43.0
64,69.0
59,55.0
57,68.0
89,87.0
55,62.0
88,74.0
55,60.0
43,53.0
72,70.0
58,55.0
68,65.0
93,90.0
78,63.0
47,44.0
67,79.0
94,90.0
85,79.0
84,76.0
62,61.0
62,56.0
57,56.0
84,74.0
75,66.0
82,81.0
58,48.0
74,68.0
82,67.0
91,74.0
58,67.0
63,62.0
70,57.0
47,49.0
70,78.0
60,68.0
80,78.0
54,51.0
62,71.0
62,65.0
80,76.0
65,76.0
79,74.0
45,51.0
99,84.0
76,68.0
57,39.0
61,71.0
71,73.0
93,92.0
71,72.0
69,62.0
57,50.0
48,52.0
65,68.0
85,75.0
83,75.0
